"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2023","68.70","69.20","69.20","68.70","11.62K","-1.15%"
"12/18/2023","69.50","69.80","70.00","69.00","11.64K","-0.43%"
"12/15/2023","69.80","70.10","71.00","69.70","119.15K","-0.29%"
"12/14/2023","70.00","70.30","71.00","70.00","5.41K","-0.43%"
"12/13/2023","70.30","71.00","71.00","70.00","15.95K","-0.99%"
"12/12/2023","71.00","72.00","72.00","71.00","407.24K","-1.39%"
"12/11/2023","72.00","72.00","72.50","71.00","272.97K","0.00%"
"12/08/2023","72.00","72.00","72.00","71.50","400.56K","0.00%"
"12/07/2023","72.00","70.60","72.00","70.60","5.13K","1.98%"
"12/06/2023","70.60","71.50","71.50","70.30","27.51K","-0.56%"
"12/05/2023","71.00","70.70","71.00","70.70","31.30K","0.42%"
"12/04/2023","70.70","70.60","71.50","70.60","186.71K","-0.42%"
"12/01/2023","71.00","70.50","73.00","70.50","94.42K","0.00%"
"11/30/2023","71.00","70.00","71.00","70.00","291.49K","-1.25%"
"11/29/2023","71.90","71.40","71.90","70.50","45.71K","1.55%"
"11/28/2023","70.80","70.30","71.10","70.10","9.15K","-0.56%"
"11/27/2023","71.20","71.00","71.20","70.50","35.75K","0.28%"
"11/24/2023","71.00","70.00","71.00","70.00","3.48K","1.43%"
"11/23/2023","70.00","70.30","70.40","70.00","23.36K","-0.28%"
"11/22/2023","70.20","70.00","70.40","70.00","6.49K","0.14%"
"11/21/2023","70.10","70.00","70.40","70.00","29.17K","0.14%"
"11/20/2023","70.00","70.10","71.90","70.00","93.13K","0.00%"
"11/17/2023","70.00","71.50","71.60","70.00","260.44K","-1.55%"
"11/16/2023","71.10","72.80","72.80","71.10","11.65K","0.00%"
"11/15/2023","71.10","73.00","73.00","71.10","2.70K","-0.56%"
"11/14/2023","71.50","72.00","72.00","71.10","182.70K","-0.69%"
"11/13/2023","72.00","72.00","72.20","71.10","210.80K","0.00%"
"11/10/2023","72.00","71.10","73.00","71.00","308.47K","0.00%"
"11/09/2023","72.00","73.00","73.00","72.00","158.97K","-1.37%"
"11/08/2023","73.00","73.50","75.00","73.00","13.47K","0.00%"
"11/07/2023","73.00","73.00","75.00","73.00","491.54K","-1.35%"
"11/06/2023","74.00","73.20","76.00","73.20","15.28K","1.09%"
"11/03/2023","73.20","72.60","74.00","72.50","109.74K","-1.08%"
"11/02/2023","74.00","71.40","74.00","71.40","188.35K","3.35%"
"11/01/2023","71.60","71.80","72.20","71.50","6.24K","0.28%"
"10/31/2023","71.40","71.10","71.80","70.80","201.52K","-0.14%"
"10/30/2023","71.50","71.10","72.00","71.10","5.68K","0.70%"
"10/27/2023","71.00","70.20","72.00","70.20","8.63K","-1.39%"
"10/26/2023","72.00","70.20","72.50","70.10","6.90K","2.71%"
"10/25/2023","70.10","73.10","73.20","70.00","159.51K","-3.44%"
"10/24/2023","72.60","72.50","73.00","72.50","33.09K","-0.82%"
"10/23/2023","73.20","74.20","74.20","72.30","13.23K","-1.35%"
"10/20/2023","74.20","74.40","74.40","72.00","11.57K","2.34%"
"10/19/2023","72.50","72.50","74.00","72.40","8.96K","0.14%"
"10/18/2023","72.40","72.40","73.00","72.40","3.37K","-0.82%"
"10/17/2023","73.00","74.00","74.40","72.50","17.88K","-1.35%"
"10/16/2023","74.00","75.00","75.00","74.00","14.80K","-0.54%"
"10/13/2023","74.40","75.00","75.00","74.20","16.02K","-0.67%"
"10/12/2023","74.90","74.00","75.00","74.00","19.88K","1.22%"
"10/11/2023","74.00","74.20","74.90","74.00","14.70K","-0.13%"
"10/10/2023","74.10","76.00","76.00","74.10","23.71K","-1.46%"
"10/09/2023","75.20","76.70","76.70","75.20","23.36K","-2.08%"
"10/06/2023","76.80","76.80","76.80","76.50","13.86K","-1.03%"
"10/05/2023","77.60","78.00","78.00","77.00","23.75K","-0.51%"
"10/04/2023","78.00","77.90","78.00","77.00","9.57K","0.00%"
"10/03/2023","78.00","79.00","79.00","77.90","38.67K","0.13%"
"10/02/2023","77.90","78.60","79.00","77.90","26.99K","-2.01%"
"09/27/2023","79.50","79.50","80.10","78.60","48.38K","1.27%"
"09/26/2023","78.50","78.10","79.90","77.90","16.54K","-0.63%"
"09/25/2023","79.00","79.50","79.90","79.00","14.27K","-0.75%"
"09/22/2023","79.60","80.00","80.10","79.60","106.07K","-0.50%"
"09/21/2023","80.00","81.00","81.10","80.00","20.31K","0.00%"
"09/20/2023","80.00","80.00","81.00","79.90","65.54K","-0.87%"
"09/19/2023","80.70","81.50","81.50","79.60","173.88K","-0.37%"
"09/18/2023","81.00","82.50","82.50","80.80","122.10K","-1.22%"
"09/15/2023","82.00","81.50","82.90","81.40","27.02K","0.49%"
"09/14/2023","81.60","81.20","82.00","81.10","15.34K","0.62%"
"09/13/2023","81.10","82.00","82.00","81.00","678.10K","-0.49%"
"09/12/2023","81.50","81.90","82.20","81.00","28.53K","-1.21%"
"09/11/2023","82.50","82.00","83.00","81.00","43.08K","0.00%"
"09/08/2023","82.50","82.50","82.50","82.00","26.81K","-0.60%"
"09/07/2023","83.00","83.00","83.10","82.00","42.35K","1.22%"
"09/06/2023","82.00","82.00","83.20","81.80","145.65K","-1.44%"
"09/05/2023","83.20","83.00","83.20","81.00","343.67K","0.85%"
"09/04/2023","82.50","83.00","83.50","82.50","256.47K","-0.60%"
"09/01/2023","83.00","79.80","83.00","79.80","185.23K","2.47%"
"08/31/2023","81.00","79.80","81.00","79.80","302.65K","1.50%"
"08/29/2023","79.80","80.00","80.60","79.80","28.02K","-0.25%"
"08/28/2023","80.00","80.00","80.40","79.50","111.34K","-0.37%"
"08/25/2023","80.30","80.00","80.40","80.00","84.69K","0.38%"
"08/24/2023","80.00","80.20","80.40","80.00","134.94K","-0.25%"
"08/23/2023","80.20","79.30","80.50","79.30","343.96K","0.38%"
"08/22/2023","79.90","79.20","80.00","79.20","120.92K","-0.12%"
"08/21/2023","80.00","79.60","80.00","79.00","440.28K","0.38%"
"08/18/2023","79.70","80.00","80.00","78.80","1.05M","-0.38%"
"08/17/2023","80.00","80.00","80.00","79.00","68.12K","0.00%"
"08/16/2023","80.00","78.80","80.00","78.50","290.82K","1.78%"
"08/15/2023","78.60","78.80","79.70","78.60","83.24K","-1.50%"
"08/14/2023","79.80","80.70","80.70","78.10","106.51K","-1.48%"
"08/11/2023","81.00","82.00","82.00","81.00","77.54K","-2.41%"
"08/10/2023","83.00","84.90","84.90","83.00","125.06K","-1.19%"
"08/09/2023","84.00","84.50","85.90","83.50","580.52K","-0.83%"
"08/08/2023","84.70","80.20","84.80","80.20","679.64K","2.05%"
"08/07/2023","83.00","81.00","83.00","80.10","358.43K","3.11%"
"08/04/2023","80.50","82.00","82.00","80.00","206.27K","-1.83%"
"08/03/2023","82.00","77.10","82.40","77.10","1.16M","5.40%"
"08/02/2023","77.80","76.00","77.90","76.00","1.04M","1.30%"
"07/31/2023","76.80","76.20","76.80","75.10","612.33K","1.05%"
"07/28/2023","76.00","74.00","76.20","74.00","265.34K","2.29%"
"07/27/2023","74.30","74.00","74.30","73.30","88.48K","0.41%"
"07/26/2023","74.00","74.00","74.20","73.80","236.30K","0.54%"
"07/25/2023","73.60","75.00","75.00","73.50","73.01K","-1.87%"
"07/24/2023","75.00","74.10","75.00","74.00","49.63K","-1.32%"
"07/21/2023","76.00","75.00","76.50","74.10","275.74K","2.01%"
"07/20/2023","74.50","74.00","75.00","74.00","55.59K","0.00%"
"07/19/2023","74.50","75.70","75.70","74.00","473.92K","-1.19%"
"07/18/2023","75.40","74.00","75.90","72.50","894.26K","2.72%"
"07/17/2023","73.40","73.80","74.60","72.50","237.97K","-1.61%"
"07/14/2023","74.60","74.00","75.00","74.00","56.46K","0.81%"
"07/13/2023","74.00","73.70","74.50","73.70","1.48M","0.54%"
"07/12/2023","73.60","74.00","74.00","73.10","131.77K","-0.54%"
"07/11/2023","74.00","75.60","75.60","73.60","436.78K","-2.63%"
"07/10/2023","76.00","75.00","77.40","75.00","215.90K","-1.30%"
"07/07/2023","77.00","74.00","77.10","73.80","1.57M","4.05%"
"07/06/2023","74.00","74.00","74.00","73.00","198.62K","0.00%"
"07/05/2023","74.00","73.50","74.10","73.00","519.16K","1.37%"
"07/04/2023","73.00","72.00","74.50","72.00","1.82M","5.04%"
"06/28/2023","69.50","69.50","69.90","69.00","47.44K","0.29%"
"06/27/2023","69.30","69.40","70.20","69.00","226.43K","-0.14%"
"06/26/2023","69.40","67.20","69.40","66.50","57.38K","2.06%"
"06/23/2023","68.00","67.00","68.00","67.00","15.14K","0.74%"
"06/22/2023","67.50","68.00","68.00","67.00","108.52K","0.75%"
"06/21/2023","67.00","66.50","68.00","66.50","707.01K","-0.74%"
"06/20/2023","67.50","66.00","67.50","66.00","113.24K","2.12%"
"06/19/2023","66.10","67.00","67.10","66.00","102.94K","-1.34%"
"06/16/2023","67.00","67.50","67.90","67.00","5.99K","-1.47%"
"06/15/2023","68.00","68.00","68.60","68.00","88.67K","-0.29%"
"06/14/2023","68.20","67.50","68.50","67.40","179.48K","1.04%"
"06/13/2023","67.50","67.00","67.50","66.90","71.72K","0.75%"
"06/12/2023","67.00","66.00","67.00","66.00","38.58K","2.29%"
"06/09/2023","65.50","65.80","65.90","65.00","17.96K","0.00%"
"06/08/2023","65.50","65.00","65.70","65.00","1.92M","0.31%"
"06/07/2023","65.30","65.50","65.50","65.00","4.94K","-0.31%"
"06/06/2023","65.50","65.50","65.50","65.00","2.15K","0.00%"
"06/05/2023","65.50","65.50","66.00","64.50","36.67K","0.77%"
"06/02/2023","65.00","65.00","65.50","64.00","30.23K","1.56%"
"06/01/2023","64.00","63.50","64.80","63.50","65.14K","0.79%"
"05/31/2023","63.50","63.60","63.80","63.50","5.04K","0.00%"
"05/30/2023","63.50","63.50","63.80","63.50","56.47K","-0.31%"
"05/29/2023","63.70","63.50","63.80","63.00","298.74K","1.11%"
"05/26/2023","63.00","62.60","63.00","62.10","65.28K","0.64%"
"05/25/2023","62.60","62.90","62.90","62.00","9.17K","-0.63%"
"05/24/2023","63.00","61.10","63.00","61.00","1.81K","1.61%"
"05/23/2023","62.00","63.00","63.40","61.00","38.41K","-1.59%"
"05/22/2023","63.00","63.00","63.10","63.00","21.96K","-0.47%"
"05/19/2023","63.30","64.00","64.00","63.30","559.11K","-0.31%"
"05/18/2023","63.50","63.60","63.70","63.50","15.05K","-0.63%"
"05/17/2023","63.90","63.40","63.90","63.40","343.54K","0.63%"
"05/16/2023","63.50","64.00","64.00","63.00","35.05K","-0.78%"
"05/15/2023","64.00","64.00","65.40","63.00","117.61K","1.59%"
"05/12/2023","63.00","63.90","64.00","63.00","21.59K","0.00%"
"05/11/2023","63.00","61.50","63.50","61.50","23.66K","1.12%"
"05/10/2023","62.30","61.50","62.50","61.00","18.62K","-1.11%"
"05/09/2023","63.00","62.00","65.00","61.00","40.94K","0.48%"
